Auftragskonto;Buchungstag;Valutadatum;Buchungstext;Verwendungszweck;Glaeubiger-ID;Mandatsreferenz;Kundenreferenz (End-to-End);Sammlerreferenz;Lastschrift Ursprungsbetrag;Auslagenersatz Ruecklastschrift;Beguenstigter/Zahlungspflichtiger;Kontonummer/IBAN;BIC (SWIFT-Code);Betrag;Waehrung;Info
DE02 1001 0010 0123 4567 89;03.01.2024;03.01.2024;Gutschrift;Miete 01/2024 EH-034;;;TX-00036;;;;Hanna Schweitzer;DE49370400443953394210;HYVEDEMMXXX;2404,00;EUR;Saldo: 84988,46
DE02 1001 0010 0123 4567 89;03.01.2024;03.01.2024;Gutschrift;Miete 01/2024 EH-035;;;TX-00037;;;;Louise Ladeck;DE93100500007098593174;DEUTDEBB101;1496,00;EUR;Saldo: 86484,46
DE02 1001 0010 0123 4567 89;03.01.2024;03.01.2024;Gutschrift;Miete 01/2024 EH-009;;;TX-00038;;;;Anette Vogt;DE22100700008569847896;HYVEDEMMXXX;1330,00;EUR;Saldo: 87814,46
DE02 1001 0010 0123 4567 89;03.01.2024;03.01.2024;Gutschrift;Hausgeld 01/2024 EH-007,EH-024;;;TX-00039;;;;Josefine Nohlmans;DE23100701246566701065;PBNKDEFFXXX;26,28;EUR;Saldo: 87840,74
DE02 1001 0010 0123 4567 89;03.01.2024;03.01.2024;Gutschrift;Hausgeld 01/2024 EH-048,EH-044;;;TX-00040;;;;Anni Wagenknecht;DE37100100106474687234;COBADEFFXXX;26,21;EUR;Saldo: 87866,95
DE02 1001 0010 0123 4567 89;03.01.2024;03.01.2024;Gutschrift;Hausgeld 01/2024 EH-005,EH-036;;;TX-00041;;;;Kunigunda Ditschlerin;DE80100100101640052427;BELADEBEXXX;35,63;EUR;Saldo: 87902,58
DE02 1001 0010 0123 4567 89;03.01.2024;03.01.2024;Gutschrift;Hausgeld 01/2024 EH-019,EH-009;;;TX-00042;;;;Hulda Eckbauer;DE58100500002602563421;HYVEDEMMXXX;21,60;EUR;Saldo: 87924,18
DE02 1001 0010 0123 4567 89;03.01.2024;03.01.2024;Gutschrift;Hausgeld 01/2024 EH-001,EH-030;;;TX-00043;;;;Osman Jacob;DE49100700003561595148;BELADEBEXXX;32,73;EUR;Saldo: 87956,91
DE02 1001 0010 0123 4567 89;03.01.2024;03.01.2024;Gutschrift;Hausgeld 01/2024 EH-013;;;TX-00044;;;;Willfried Harloff;DE72370400446688937346;COBADEFFXXX;13,81;EUR;Saldo: 87970,72
DE02 1001 0010 0123 4567 89;03.01.2024;03.01.2024;Gutschrift;Hausgeld 01/2024 EH-020;;;TX-00045;;;;Silja Henschel;DE93120300004641708053;COBADEFFXXX;7,58;EUR;Saldo: 87978,30
DE02 1001 0010 0123 4567 89;03.01.2024;03.01.2024;Gutschrift;Hausgeld 01/2024 EH-041;;;TX-00046;;;;Sükrü Aumann;DE65100100108506716572;PBNKDEFFXXX;17,43;EUR;Saldo: 87995,73
DE02 1001 0010 0123 4567 89;03.01.2024;03.01.2024;Gutschrift;Hausgeld 01/2024 EH-046;;;TX-00047;;;;Dorothe Wulf;DE95100700004531473799;DEUTDEBB101;13,95;EUR;Saldo: 88009,68
DE02 1001 0010 0123 4567 89;03.01.2024;03.01.2024;Gutschrift;Hausgeld 01/2024 EH-006;;;TX-00048;;;;Markus Fliegner;DE83120300005204711671;BELADEBEXXX;8,36;EUR;Saldo: 88018,04
DE02 1001 0010 0123 4567 89;04.01.2024;04.01.2024;Gutschrift;Hausgeld 01/2024 EH-027,EH-026;;;TX-00049;;;;Winfried Ullmann;DE31120300003178108013;DEUTDEBB101;28,76;EUR;Saldo: 88046,80
DE02 1001 0010 0123 4567 89;04.01.2024;04.01.2024;Gutschrift;Hausgeld 01/2024 EH-045;;;TX-00050;;;;Ronald Kelley;DE64120300006936763201;PBNKDEFFXXX;10,84;EUR;Saldo: 88057,64
DE02 1001 0010 0123 4567 89;04.01.2024;04.01.2024;Gutschrift;Hausgeld 01/2024 EH-029;;;TX-00051;;;;Tom Hartmann;DE52100701244873471434;BYLADEM1001;19,76;EUR;Saldo: 88077,40
DE02 1001 0010 0123 4567 89;04.01.2024;04.01.2024;Gutschrift;Hausgeld 01/2024 EH-040;;;TX-00052;;;;Gottlob Hahn;DE63100500003166587603;DEUTDEBB101;11,97;EUR;Saldo: 88089,37
DE02 1001 0010 0123 4567 89;04.01.2024;04.01.2024;Gutschrift;Hausgeld 01/2024 EH-051;;;TX-00053;;;;Jo Reuter;DE64370400443634957885;BELADEBEXXX;13,95;EUR;Saldo: 88103,32
DE02 1001 0010 0123 4567 89;05.01.2024;05.01.2024;Gutschrift;Hausgeld 01/2024 EH-025,EH-049;;;TX-00054;;;;Arnulf Heintze;DE85100701245787133150;GENODEF1P01;36,83;EUR;Saldo: 88140,15
DE02 1001 0010 0123 4567 89;05.01.2024;05.01.2024;Gutschrift;Hausgeld 01/2024 EH-043,EH-015;;;TX-00055;;;;Erdal Beckmann;DE83100100105183473829;DEUTDEBB101;34,35;EUR;Saldo: 88174,50
DE02 1001 0010 0123 4567 89;05.01.2024;05.01.2024;Gutschrift;Hausgeld 01/2024 EH-031,EH-035;;;TX-00056;;;;Caroline Bohlander;DE36100701241241182449;BELADEBEXXX;30,88;EUR;Saldo: 88205,38
DE02 1001 0010 0123 4567 89;05.01.2024;05.01.2024;Gutschrift;Hausgeld 01/2024 EH-042;;;TX-00057;;;;Mina Textor;DE38100700007214895134;HYVEDEMMXXX;16,93;EUR;Saldo: 88222,31
DE02 1001 0010 0123 4567 89;05.01.2024;05.01.2024;Gutschrift;Hausgeld 01/2024 EH-003;;;TX-00058;;;;Hiltrud Speer;DE33100700008069901627;COBADEFFXXX;10,20;EUR;Saldo: 88232,51
DE02 1001 0010 0123 4567 89;05.01.2024;05.01.2024;Gutschrift;Hausgeld 01/2024 EH-021;;;TX-00059;;;;Dörthe Hövel;DE62370400445494808313;DEUTDEBB101;13,46;EUR;Saldo: 88245,97
DE02 1001 0010 0123 4567 89;05.01.2024;05.01.2024;Gutschrift;Hausgeld 01/2024 EH-004;;;TX-00060;;;;Harro Bloch;DE99370400442408240084;PBNKDEFFXXX;9,85;EUR;Saldo: 88255,82
DE02 1001 0010 0123 4567 89;19.01.2024;19.01.2024;Ueberweisung;Rechnung RE-2024-0097 Berliner Wasserbetriebe;;;TX-00061;;;;Berliner Wasserbetriebe;DE92100500009212779979;BELADEBEXXX;-249,90;EUR;Saldo: 88005,92
DE02 1001 0010 0123 4567 89;28.01.2024;28.01.2024;Ueberweisung;Kontofuehrungsgebuehr 01/2024;;;TX-00062;;;;Postbank Berlin;DE02 1001 0010 0123 4567 89;PBNKDEFFXXX;-12,50;EUR;Saldo: 87993,42
DE02 1001 0010 0123 4567 89;31.01.2024;31.01.2024;Ueberweisung;Rechnung RE-2024-0184 Sanitaer Schulze GmbH;;;TX-00063;;;;Sanitaer Schulze GmbH;DE77100100107151820377;GENODEF1P01;-108,29;EUR;Saldo: 87885,13
DE02 1001 0010 0123 4567 89;01.02.2024;01.02.2024;Gutschrift;Miete 02/2024 EH-049;;;TX-00064;;;;Joanna Schäfer;DE83100701245940139904;COBADEFFXXX;2019,00;EUR;Saldo: 89904,13
DE02 1001 0010 0123 4567 89;01.02.2024;01.02.2024;Gutschrift;Miete 02/2024 EH-023;;;TX-00065;;;;David Jenkins;DE86100701244677378263;GENODEF1P01;1767,00;EUR;Saldo: 91671,13
DE02 1001 0010 0123 4567 89;01.02.2024;01.02.2024;Gutschrift;Miete 02/2024 EH-046;;;TX-00066;;;;Ewa Thies;DE93120300000262174596;COBADEFFXXX;1726,00;EUR;Saldo: 93397,13
DE02 1001 0010 0123 4567 89;01.02.2024;01.02.2024;Gutschrift;Miete 02/2024 EH-016;;;TX-00067;;;;Peggy Hein;DE91120300008091343161;BELADEBEXXX;1863,00;EUR;Saldo: 95260,13
DE02 1001 0010 0123 4567 89;01.02.2024;01.02.2024;Gutschrift;Miete 02/2024 EH-032;;;TX-00068;;;;Magrit Mitschke;DE71120300002328588424;HYVEDEMMXXX;901,00;EUR;Saldo: 96161,13
DE02 1001 0010 0123 4567 89;01.02.2024;01.02.2024;Gutschrift;Miete 02/2024 EH-042;;;TX-00069;;;;Anika Zimmer;DE21370400441585064317;BELADEBEXXX;1925,00;EUR;Saldo: 98086,13
DE02 1001 0010 0123 4567 89;01.02.2024;01.02.2024;Gutschrift;Miete 02/2024 EH-031;;;TX-00070;;;;Carsten Austermühle;DE26100100102053950240;BELADEBEXXX;1914,00;EUR;Saldo: 100000,13
DE02 1001 0010 0123 4567 89;01.02.2024;01.02.2024;Gutschrift;Miete 02/2024 EH-037;;;TX-00071;;;;Björn Weinhage;DE97100500009084700766;COBADEFFXXX;4096,00;EUR;Saldo: 104096,13
DE02 1001 0010 0123 4567 89;01.02.2024;01.02.2024;Gutschrift;Miete 02/2024 EH-009;;;TX-00072;;;;Anette Vogt;DE22100700008569847896;HYVEDEMMXXX;1330,00;EUR;Saldo: 105426,13
DE02 1001 0010 0123 4567 89;01.02.2024;01.02.2024;Gutschrift;Hausgeld 02/2024 EH-007,EH-024;;;TX-00073;;;;Josefine Nohlmans;DE23100701246566701065;PBNKDEFFXXX;26,28;EUR;Saldo: 105452,41
DE02 1001 0010 0123 4567 89;01.02.2024;01.02.2024;Gutschrift;Hausgeld 02/2024 EH-048,EH-044;;;TX-00074;;;;Anni Wagenknecht;DE37100100106474687234;COBADEFFXXX;26,21;EUR;Saldo: 105478,62
DE02 1001 0010 0123 4567 89;01.02.2024;01.02.2024;Gutschrift;Hausgeld 02/2024 EH-052,EH-050;;;TX-00075;;;;Ingbert Nerger;DE46100100101838425135;PBNKDEFFXXX;11,33;EUR;Saldo: 105489,95
DE02 1001 0010 0123 4567 89;01.02.2024;01.02.2024;Gutschrift;Hausgeld 02/2024 EH-005,EH-036;;;TX-00076;;;;Kunigunda Ditschlerin;DE80100100101640052427;BELADEBEXXX;35,63;EUR;Saldo: 105525,58
DE02 1001 0010 0123 4567 89;01.02.2024;01.02.2024;Gutschrift;Hausgeld 02/2024 EH-034,EH-010;;;TX-00077;;;;Wolfgang Hettner;DE24100700004019655698;DEUTDEBB101;34,57;EUR;Saldo: 105560,15
DE02 1001 0010 0123 4567 89;01.02.2024;01.02.2024;Gutschrift;Hausgeld 02/2024 EH-001,EH-030;;;TX-00078;;;;Osman Jacob;DE49100700003561595148;BELADEBEXXX;32,73;EUR;Saldo: 105592,88
DE02 1001 0010 0123 4567 89;01.02.2024;01.02.2024;Gutschrift;Hausgeld 02/2024 EH-042;;;TX-00079;;;;Mina Textor;DE38100700007214895134;HYVEDEMMXXX;16,93;EUR;Saldo: 105609,81
DE02 1001 0010 0123 4567 89;01.02.2024;01.02.2024;Gutschrift;Hausgeld 02/2024 EH-014;;;TX-00080;;;;Ingolf Röhricht;DE57100100109232719374;PBNKDEFFXXX;13,95;EUR;Saldo: 105623,76
DE02 1001 0010 0123 4567 89;01.02.2024;01.02.2024;Gutschrift;Hausgeld 02/2024 EH-022;;;TX-00081;;;;Oswald Gröttner;DE97100100104966319314;GENODEF1P01;12,32;EUR;Saldo: 105636,08
DE02 1001 0010 0123 4567 89;01.02.2024;01.02.2024;Gutschrift;Hausgeld 02/2024 EH-041;;;TX-00082;;;;Sükrü Aumann;DE65100100108506716572;PBNKDEFFXXX;17,43;EUR;Saldo: 105653,51
DE02 1001 0010 0123 4567 89;02.02.2024;02.02.2024;Gutschrift;Miete 02/2024 EH-025;;;TX-00083;;;;Julius Nette;DE94120300004034471349;HYVEDEMMXXX;1676,00;EUR;Saldo: 107329,51
DE02 1001 0010 0123 4567 89;02.02.2024;02.02.2024;Gutschrift;Miete 02/2024 EH-021;;;TX-00084;;;;Edelgard Wulf;DE99100100100249947174;DEUTDEBB101;1511,00;EUR;Saldo: 108840,51
DE02 1001 0010 0123 4567 89;02.02.2024;02.02.2024;Gutschrift;Miete 02/2024 EH-002;;;TX-00085;;;;Marliese Hermann;DE73100500009636057662;COBADEFFXXX;864,00;EUR;Saldo: 109704,51
DE02 1001 0010 0123 4567 89;02.02.2024;02.02.2024;Gutschrift;Miete 02/2024 EH-022;;;TX-00086;;;;Alwine Sager;DE31100100104556238692;PBNKDEFFXXX;1460,00;EUR;Saldo: 111164,51
DE02 1001 0010 0123 4567 89;02.02.2024;02.02.2024;Gutschrift;Miete 02/2024 EH-029;;;TX-00087;;;;Edeltraud Renner;DE57100701246851604817;BELADEBEXXX;2091,00;EUR;Saldo: 113255,51
DE02 1001 0010 0123 4567 89;02.02.2024;02.02.2024;Gutschrift;Miete 02/2024 EH-019;;;TX-00088;;;;Jasmin Trub;DE29120300005766156545;BELADEBEXXX;1206,00;EUR;Saldo: 114461,51
DE02 1001 0010 0123 4567 89;02.02.2024;02.02.2024;Gutschrift;Hausgeld 02/2024 EH-002,EH-038;;;TX-00089;;;;Horst Vollbrecht;DE95100700009854353462;BELADEBEXXX;9,70;EUR;Saldo: 114471,21
DE02 1001 0010 0123 4567 89;02.02.2024;02.02.2024;Gutschrift;Hausgeld 02/2024 EH-011,EH-017;;;TX-00090;;;;Kranz Vermoegensverwaltung;DE61100500003036541458;BELADEBEXXX;27,48;EUR;Saldo: 114498,69
DE02 1001 0010 0123 4567 89;02.02.2024;02.02.2024;Gutschrift;Hausgeld 02/2024 EH-018;;;TX-00091;;;;Irmingard Margraf;DE36100701246299468044;DEUTDEBB101;1,63;EUR;Saldo: 114500,32
DE02 1001 0010 0123 4567 89;02.02.2024;02.02.2024;Gutschrift;Hausgeld 02/2024 EH-045;;;TX-00092;;;;Ronald Kelley;DE64120300006936763201;PBNKDEFFXXX;10,84;EUR;Saldo: 114511,16
DE02 1001 0010 0123 4567 89;02.02.2024;02.02.2024;Gutschrift;Hausgeld 02/2024 EH-039;;;TX-00093;;;;Dörte Kraus;DE64100100107278895798;HYVEDEMMXXX;10,55;EUR;Saldo: 114521,71
DE02 1001 0010 0123 4567 89;02.02.2024;02.02.2024;Gutschrift;Hausgeld 02/2024 EH-021;;;TX-00094;;;;Dörthe Hövel;DE62370400445494808313;DEUTDEBB101;13,46;EUR;Saldo: 114535,17
DE02 1001 0010 0123 4567 89;03.02.2024;03.02.2024;Gutschrift;Miete 02/2024 EH-051;;;TX-00095;;;;Horst-Günter Zänker;DE52100700006717565512;DEUTDEBB101;1537,00;EUR;Saldo: 116072,17
DE02 1001 0010 0123 4567 89;03.02.2024;03.02.2024;Gutschrift;Miete 02/2024 EH-013;;;TX-00096;;;;Steffi Riehl;DE76370400445168087603;BYLADEM1001;1653,00;EUR;Saldo: 117725,17
DE02 1001 0010 0123 4567 89;03.02.2024;03.02.2024;Gutschrift;Miete 02/2024 EH-045;;;TX-00097;;;;Chantal Täsche;DE80370400447710932480;DEUTDEBB101;1256,00;EUR;Saldo: 118981,17
DE02 1001 0010 0123 4567 89;03.02.2024;03.02.2024;Gutschrift;Miete 02/2024 EH-003;;;TX-00098;;;;Ferenc Stahr;DE71100700004044997278;BYLADEM1001;1070,00;EUR;Saldo: 120051,17
DE02 1001 0010 0123 4567 89;03.02.2024;03.02.2024;Gutschrift;Miete 02/2024 EH-010;;;TX-00099;;;;Kiara Mcintyre;DE54100701244740748217;GENODEF1P01;1583,00;EUR;Saldo: 121634,17
DE02 1001 0010 0123 4567 89;03.02.2024;03.02.2024;Gutschrift;Miete 02/2024 EH-039;;;TX-00100;;;;Wilma Roht;DE11100100103695944064;GENODEF1P01;1127,00;EUR;Saldo: 122761,17
DE02 1001 0010 0123 4567 89;03.02.2024;03.02.2024;Gutschrift;Miete 02/2024 EH-034;;;TX-00101;;;;Hanna Schweitzer;DE49370400443953394210;HYVEDEMMXXX;2404,00;EUR;Saldo: 125165,17
DE02 1001 0010 0123 4567 89;03.02.2024;03.02.2024;Gutschrift;Miete 02/2024 EH-035;;;TX-00102;;;;Louise Ladeck;DE93100500007098593174;DEUTDEBB101;1496,00;EUR;Saldo: 126661,17
DE02 1001 0010 0123 4567 89;03.02.2024;03.02.2024;Gutschrift;Miete 02/2024 EH-050;;;TX-00103;;;;Jörgen Seidel;DE72100700002675869261;GENODEF1P01;1006,00;EUR;Saldo: 127667,17
DE02 1001 0010 0123 4567 89;03.02.2024;03.02.2024;Gutschrift;Miete 02/2024 EH-041;;;TX-00104;;;;Galina Wohlgemut;DE86100500009318393352;COBADEFFXXX;2111,00;EUR;Saldo: 129778,17
DE02 1001 0010 0123 4567 89;03.02.2024;03.02.2024;Gutschrift;Miete 02/2024 EH-006;;;TX-00105;;;;Kamil Trub;DE95370400442809885165;HYVEDEMMXXX;983,00;EUR;Saldo: 130761,17
DE02 1001 0010 0123 4567 89;03.02.2024;03.02.2024;Gutschrift;Hausgeld 02/2024 EH-037,EH-032;;;TX-00106;;;;Marcus Dowerg;DE24100500002528809570;BYLADEM1001;32,51;EUR;Saldo: 130793,68
DE02 1001 0010 0123 4567 89;03.02.2024;03.02.2024;Gutschrift;Hausgeld 02/2024 EH-023,EH-016;;;TX-00107;;;;Dominic Jacobs;DE97100700008262045053;PBNKDEFFXXX;33,57;EUR;Saldo: 130827,25
DE02 1001 0010 0123 4567 89;03.02.2024;03.02.2024;Gutschrift;Hausgeld 02/2024 EH-019,EH-009;;;TX-00108;;;;Hulda Eckbauer;DE58100500002602563421;HYVEDEMMXXX;21,60;EUR;Saldo: 130848,85
DE02 1001 0010 0123 4567 89;03.02.2024;03.02.2024;Gutschrift;Hausgeld 02/2024 EH-029;;;TX-00109;;;;Tom Hartmann;DE52100701244873471434;BYLADEM1001;19,76;EUR;Saldo: 130868,61
DE02 1001 0010 0123 4567 89;03.02.2024;03.02.2024;Gutschrift;Hausgeld 02/2024 EH-013;;;TX-00110;;;;Willfried Harloff;DE72370400446688937346;COBADEFFXXX;13,81;EUR;Saldo: 130882,42
DE02 1001 0010 0123 4567 89;03.02.2024;03.02.2024;Gutschrift;Hausgeld 02/2024 EH-004;;;TX-00111;;;;Harro Bloch;DE99370400442408240084;PBNKDEFFXXX;9,85;EUR;Saldo: 130892,27
DE02 1001 0010 0123 4567 89;03.02.2024;03.02.2024;Gutschrift;Hausgeld 02/2024 EH-006;;;TX-00112;;;;Markus Fliegner;DE83120300005204711671;BELADEBEXXX;8,36;EUR;Saldo: 130900,63
DE02 1001 0010 0123 4567 89;04.02.2024;04.02.2024;Gutschrift;Hausgeld 02/2024 EH-025,EH-049;;;TX-00113;;;;Arnulf Heintze;DE85100701245787133150;GENODEF1P01;36,83;EUR;Saldo: 130937,46
DE02 1001 0010 0123 4567 89;04.02.2024;04.02.2024;Gutschrift;Hausgeld 02/2024 EH-012,EH-028;;;TX-00114;;;;Dunja Schacht;DE96120300008820812191;HYVEDEMMXXX;33,86;EUR;Saldo: 130971,32
DE02 1001 0010 0123 4567 89;04.02.2024;04.02.2024;Gutschrift;Hausgeld 02/2024 EH-031,EH-035;;;TX-00115;;;;Caroline Bohlander;DE36100701241241182449;BELADEBEXXX;30,88;EUR;Saldo: 131002,20
DE02 1001 0010 0123 4567 89;04.02.2024;04.02.2024;Gutschrift;Hausgeld 02/2024 EH-040;;;TX-00116;;;;Gottlob Hahn;DE63100500003166587603;DEUTDEBB101;11,97;EUR;Saldo: 131014,17
