id,datum,typ,betrag,kategorie,gegen_name,verwendungszweck,referenz_id,error_types
TX-00022,2024-01-02,CREDIT,1537.00,miete,Horst-Günter Zänker,Miete 01/2024 EH-051,MIE-004,
TX-00023,2024-01-02,CREDIT,1070.00,miete,Ferenc Stahr,Miete 01/2024 EH-003,MIE-008,
TX-00024,2024-01-02,CREDIT,864.00,miete,Marliese Hermann,Miete 01/2024 EH-002,MIE-009,
TX-00025,2024-01-02,CREDIT,2091.00,miete,Edeltraud Renner,Miete 01/2024 EH-029,MIE-017,
TX-00026,2024-01-02,CREDIT,1206.00,miete,Jasmin Trub,Miete 01/2024 EH-019,MIE-025,
TX-00027,2024-01-02,CREDIT,983.00,miete,Kamil Trub,Miete 01/2024 EH-006,MIE-026,
TX-00028,2024-01-02,CREDIT,37.61,hausgeld,Gertraud Holsten,"Hausgeld 01/2024 EH-047,EH-033",EIG-002,
TX-00029,2024-01-02,CREDIT,34.57,hausgeld,Wolfgang Hettner,"Hausgeld 01/2024 EH-034,EH-010",EIG-016,
TX-00030,2024-01-02,CREDIT,1.63,hausgeld,Irmingard Margraf,Hausgeld 01/2024 EH-018,EIG-018,
TX-00031,2024-01-02,CREDIT,12.32,hausgeld,Oswald Gröttner,Hausgeld 01/2024 EH-022,EIG-028,
TX-00032,2024-01-03,CREDIT,1511.00,miete,Edelgard Wulf,Miete 01/2024 EH-021,MIE-002,
TX-00033,2024-01-03,CREDIT,1653.00,miete,Steffi Riehl,Miete 01/2024 EH-013,MIE-005,
TX-00034,2024-01-03,CREDIT,1726.00,miete,Ewa Thies,Miete 01/2024 EH-046,MIE-010,
TX-00035,2024-01-03,CREDIT,1460.00,miete,Alwine Sager,Miete 01/2024 EH-022,MIE-012,
TX-00036,2024-01-03,CREDIT,2404.00,miete,Hanna Schweitzer,Miete 01/2024 EH-034,MIE-015,
TX-00037,2024-01-03,CREDIT,1496.00,miete,Louise Ladeck,Miete 01/2024 EH-035,MIE-018,
TX-00038,2024-01-03,CREDIT,1330.00,miete,Anette Vogt,Miete 01/2024 EH-009,MIE-024,
TX-00039,2024-01-03,CREDIT,26.28,hausgeld,Josefine Nohlmans,"Hausgeld 01/2024 EH-007,EH-024",EIG-005,
TX-00040,2024-01-03,CREDIT,26.21,hausgeld,Anni Wagenknecht,"Hausgeld 01/2024 EH-048,EH-044",EIG-007,
TX-00041,2024-01-03,CREDIT,35.63,hausgeld,Kunigunda Ditschlerin,"Hausgeld 01/2024 EH-005,EH-036",EIG-012,
TX-00042,2024-01-03,CREDIT,21.60,hausgeld,Hulda Eckbauer,"Hausgeld 01/2024 EH-019,EH-009",EIG-014,
TX-00043,2024-01-03,CREDIT,32.73,hausgeld,Osman Jacob,"Hausgeld 01/2024 EH-001,EH-030",EIG-017,
TX-00044,2024-01-03,CREDIT,13.81,hausgeld,Willfried Harloff,Hausgeld 01/2024 EH-013,EIG-024,
TX-00045,2024-01-03,CREDIT,7.58,hausgeld,Silja Henschel,Hausgeld 01/2024 EH-020,EIG-026,
TX-00046,2024-01-03,CREDIT,17.43,hausgeld,Sükrü Aumann,Hausgeld 01/2024 EH-041,EIG-029,
TX-00047,2024-01-03,CREDIT,13.95,hausgeld,Dorothe Wulf,Hausgeld 01/2024 EH-046,EIG-030,
TX-00048,2024-01-03,CREDIT,8.36,hausgeld,Markus Fliegner,Hausgeld 01/2024 EH-006,EIG-035,
TX-00049,2024-01-04,CREDIT,28.76,hausgeld,Winfried Ullmann,"Hausgeld 01/2024 EH-027,EH-026",EIG-006,
TX-00050,2024-01-04,CREDIT,10.84,hausgeld,Ronald Kelley,Hausgeld 01/2024 EH-045,EIG-020,
TX-00051,2024-01-04,CREDIT,19.76,hausgeld,Tom Hartmann,Hausgeld 01/2024 EH-029,EIG-022,
TX-00052,2024-01-04,CREDIT,11.97,hausgeld,Gottlob Hahn,Hausgeld 01/2024 EH-040,EIG-023,
TX-00053,2024-01-04,CREDIT,13.95,hausgeld,Jo Reuter,Hausgeld 01/2024 EH-051,EIG-032,
TX-00054,2024-01-05,CREDIT,36.83,hausgeld,Arnulf Heintze,"Hausgeld 01/2024 EH-025,EH-049",EIG-003,
TX-00055,2024-01-05,CREDIT,34.35,hausgeld,Erdal Beckmann,"Hausgeld 01/2024 EH-043,EH-015",EIG-004,
TX-00056,2024-01-05,CREDIT,30.88,hausgeld,Caroline Bohlander,"Hausgeld 01/2024 EH-031,EH-035",EIG-011,
TX-00057,2024-01-05,CREDIT,16.93,hausgeld,Mina Textor,Hausgeld 01/2024 EH-042,EIG-019,
TX-00058,2024-01-05,CREDIT,10.20,hausgeld,Hiltrud Speer,Hausgeld 01/2024 EH-003,EIG-025,
TX-00059,2024-01-05,CREDIT,13.46,hausgeld,Dörthe Hövel,Hausgeld 01/2024 EH-021,EIG-031,
TX-00060,2024-01-05,CREDIT,9.85,hausgeld,Harro Bloch,Hausgeld 01/2024 EH-004,EIG-034,
TX-00061,2024-01-19,DEBIT,249.90,versorger,Berliner Wasserbetriebe,Rechnung RE-2024-0097 Berliner Wasserbetriebe,INV-00001,
TX-00062,2024-01-28,DEBIT,12.50,sonstige,Postbank Berlin,Kontofuehrungsgebuehr 01/2024,,
TX-00063,2024-01-31,DEBIT,108.29,dienstleister,Sanitaer Schulze GmbH,Rechnung RE-2024-0184 Sanitaer Schulze GmbH,INV-00004,
TX-00064,2024-02-01,CREDIT,2019.00,miete,Joanna Schäfer,Miete 02/2024 EH-049,MIE-003,
TX-00065,2024-02-01,CREDIT,1767.00,miete,David Jenkins,Miete 02/2024 EH-023,MIE-007,
TX-00066,2024-02-01,CREDIT,1726.00,miete,Ewa Thies,Miete 02/2024 EH-046,MIE-010,
TX-00067,2024-02-01,CREDIT,1863.00,miete,Peggy Hein,Miete 02/2024 EH-016,MIE-011,
TX-00068,2024-02-01,CREDIT,901.00,miete,Magrit Mitschke,Miete 02/2024 EH-032,MIE-016,
TX-00069,2024-02-01,CREDIT,1925.00,miete,Anika Zimmer,Miete 02/2024 EH-042,MIE-020,
TX-00070,2024-02-01,CREDIT,1914.00,miete,Carsten Austermühle,Miete 02/2024 EH-031,MIE-022,
TX-00071,2024-02-01,CREDIT,4096.00,miete,Björn Weinhage,Miete 02/2024 EH-037,MIE-023,
TX-00072,2024-02-01,CREDIT,1330.00,miete,Anette Vogt,Miete 02/2024 EH-009,MIE-024,
TX-00073,2024-02-01,CREDIT,26.28,hausgeld,Josefine Nohlmans,"Hausgeld 02/2024 EH-007,EH-024",EIG-005,
TX-00074,2024-02-01,CREDIT,26.21,hausgeld,Anni Wagenknecht,"Hausgeld 02/2024 EH-048,EH-044",EIG-007,
TX-00075,2024-02-01,CREDIT,11.33,hausgeld,Ingbert Nerger,"Hausgeld 02/2024 EH-052,EH-050",EIG-010,
TX-00076,2024-02-01,CREDIT,35.63,hausgeld,Kunigunda Ditschlerin,"Hausgeld 02/2024 EH-005,EH-036",EIG-012,
TX-00077,2024-02-01,CREDIT,34.57,hausgeld,Wolfgang Hettner,"Hausgeld 02/2024 EH-034,EH-010",EIG-016,
TX-00078,2024-02-01,CREDIT,32.73,hausgeld,Osman Jacob,"Hausgeld 02/2024 EH-001,EH-030",EIG-017,
TX-00079,2024-02-01,CREDIT,16.93,hausgeld,Mina Textor,Hausgeld 02/2024 EH-042,EIG-019,
TX-00080,2024-02-01,CREDIT,13.95,hausgeld,Ingolf Röhricht,Hausgeld 02/2024 EH-014,EIG-027,
TX-00081,2024-02-01,CREDIT,12.32,hausgeld,Oswald Gröttner,Hausgeld 02/2024 EH-022,EIG-028,
TX-00082,2024-02-01,CREDIT,17.43,hausgeld,Sükrü Aumann,Hausgeld 02/2024 EH-041,EIG-029,
TX-00083,2024-02-02,CREDIT,1676.00,miete,Julius Nette,Miete 02/2024 EH-025,MIE-001,
TX-00084,2024-02-02,CREDIT,1511.00,miete,Edelgard Wulf,Miete 02/2024 EH-021,MIE-002,
TX-00085,2024-02-02,CREDIT,864.00,miete,Marliese Hermann,Miete 02/2024 EH-002,MIE-009,
TX-00086,2024-02-02,CREDIT,1460.00,miete,Alwine Sager,Miete 02/2024 EH-022,MIE-012,
TX-00087,2024-02-02,CREDIT,2091.00,miete,Edeltraud Renner,Miete 02/2024 EH-029,MIE-017,
TX-00088,2024-02-02,CREDIT,1206.00,miete,Jasmin Trub,Miete 02/2024 EH-019,MIE-025,
TX-00089,2024-02-02,CREDIT,9.70,hausgeld,Horst Vollbrecht,"Hausgeld 02/2024 EH-002,EH-038",EIG-009,
TX-00090,2024-02-02,CREDIT,27.48,hausgeld,Kranz Vermoegensverwaltung,"Hausgeld 02/2024 EH-011,EH-017",EIG-015,
TX-00091,2024-02-02,CREDIT,1.63,hausgeld,Irmingard Margraf,Hausgeld 02/2024 EH-018,EIG-018,
TX-00092,2024-02-02,CREDIT,10.84,hausgeld,Ronald Kelley,Hausgeld 02/2024 EH-045,EIG-020,
TX-00093,2024-02-02,CREDIT,10.55,hausgeld,Dörte Kraus,Hausgeld 02/2024 EH-039,EIG-021,
TX-00094,2024-02-02,CREDIT,13.46,hausgeld,Dörthe Hövel,Hausgeld 02/2024 EH-021,EIG-031,
TX-00095,2024-02-03,CREDIT,1537.00,miete,Horst-Günter Zänker,Miete 02/2024 EH-051,MIE-004,
TX-00096,2024-02-03,CREDIT,1653.00,miete,Steffi Riehl,Miete 02/2024 EH-013,MIE-005,
TX-00097,2024-02-03,CREDIT,1256.00,miete,Chantal Täsche,Miete 02/2024 EH-045,MIE-006,
TX-00098,2024-02-03,CREDIT,1070.00,miete,Ferenc Stahr,Miete 02/2024 EH-003,MIE-008,
TX-00099,2024-02-03,CREDIT,1583.00,miete,Kiara Mcintyre,Miete 02/2024 EH-010,MIE-013,
TX-00100,2024-02-03,CREDIT,1127.00,miete,Wilma Roht,Miete 02/2024 EH-039,MIE-014,
TX-00101,2024-02-03,CREDIT,2404.00,miete,Hanna Schweitzer,Miete 02/2024 EH-034,MIE-015,
TX-00102,2024-02-03,CREDIT,1496.00,miete,Louise Ladeck,Miete 02/2024 EH-035,MIE-018,
TX-00103,2024-02-03,CREDIT,1006.00,miete,Jörgen Seidel,Miete 02/2024 EH-050,MIE-019,
TX-00104,2024-02-03,CREDIT,2111.00,miete,Galina Wohlgemut,Miete 02/2024 EH-041,MIE-021,
TX-00105,2024-02-03,CREDIT,983.00,miete,Kamil Trub,Miete 02/2024 EH-006,MIE-026,
TX-00106,2024-02-03,CREDIT,32.51,hausgeld,Marcus Dowerg,"Hausgeld 02/2024 EH-037,EH-032",EIG-001,
TX-00107,2024-02-03,CREDIT,33.57,hausgeld,Dominic Jacobs,"Hausgeld 02/2024 EH-023,EH-016",EIG-013,
TX-00108,2024-02-03,CREDIT,21.60,hausgeld,Hulda Eckbauer,"Hausgeld 02/2024 EH-019,EH-009",EIG-014,
TX-00109,2024-02-03,CREDIT,19.76,hausgeld,Tom Hartmann,Hausgeld 02/2024 EH-029,EIG-022,
TX-00110,2024-02-03,CREDIT,13.81,hausgeld,Willfried Harloff,Hausgeld 02/2024 EH-013,EIG-024,
TX-00111,2024-02-03,CREDIT,9.85,hausgeld,Harro Bloch,Hausgeld 02/2024 EH-004,EIG-034,
TX-00112,2024-02-03,CREDIT,8.36,hausgeld,Markus Fliegner,Hausgeld 02/2024 EH-006,EIG-035,
TX-00113,2024-02-04,CREDIT,36.83,hausgeld,Arnulf Heintze,"Hausgeld 02/2024 EH-025,EH-049",EIG-003,
TX-00114,2024-02-04,CREDIT,33.86,hausgeld,Dunja Schacht,"Hausgeld 02/2024 EH-012,EH-028",EIG-008,
TX-00115,2024-02-04,CREDIT,30.88,hausgeld,Caroline Bohlander,"Hausgeld 02/2024 EH-031,EH-035",EIG-011,
TX-00116,2024-02-04,CREDIT,11.97,hausgeld,Gottlob Hahn,Hausgeld 02/2024 EH-040,EIG-023,
TX-00117,2024-02-04,CREDIT,10.20,hausgeld,Hiltrud Speer,Hausgeld 02/2024 EH-003,EIG-025,
TX-00118,2024-02-04,CREDIT,13.95,hausgeld,Dorothe Wulf,Hausgeld 02/2024 EH-046,EIG-030,
TX-00119,2024-02-04,CREDIT,7.86,hausgeld,Xenia Conradi,Hausgeld 02/2024 EH-008,EIG-033,
TX-00120,2024-02-04,DEBIT,975.80,dienstleister,Dachdecker Richter,Rechnung R20240130 Dachdecker Richter,INV-00003,
TX-00121,2024-02-05,CREDIT,37.61,hausgeld,Gertraud Holsten,"Hausgeld 02/2024 EH-047,EH-033",EIG-002,
TX-00122,2024-02-05,CREDIT,34.35,hausgeld,Erdal Beckmann,"Hausgeld 02/2024 EH-043,EH-015",EIG-004,
TX-00123,2024-02-05,CREDIT,28.76,hausgeld,Winfried Ullmann,"Hausgeld 02/2024 EH-027,EH-026",EIG-006,
TX-00124,2024-02-05,CREDIT,7.58,hausgeld,Silja Henschel,Hausgeld 02/2024 EH-020,EIG-026,
TX-00125,2024-02-05,CREDIT,13.95,hausgeld,Jo Reuter,Hausgeld 02/2024 EH-051,EIG-032,
TX-00126,2024-02-05,DEBIT,1685.04,versorger,BSR Berliner Stadtreinigung,Rechnung 2024/00099 BSR Berliner Stadtreinigung,INV-00005,
TX-00127,2024-02-10,DEBIT,5057.50,versorger,Allianz Versicherungs-AG,Rechnung 2024/00091 Allianz Versicherungs-AG,INV-00002,
TX-00128,2024-02-13,DEBIT,310.83,dienstleister,Reinigungsservice Kowalski,Rechnung R20240025 Reinigungsservice Kowalski,INV-00007,
TX-00129,2024-02-21,DEBIT,118.05,dienstleister,Gaertnerei Gruener Daumen,Rechnung R20240049 Gaertnerei Gruener Daumen,INV-00008,
TX-00130,2024-02-28,DEBIT,12.50,sonstige,Postbank Berlin,Kontofuehrungsgebuehr 02/2024,,
TX-00131,2024-03-01,CREDIT,1676.00,miete,Julius Nette,Miete 03/2024 EH-025,MIE-001,
TX-00132,2024-03-01,CREDIT,1537.00,miete,Horst-Günter Zänker,Miete 03/2024 EH-051,MIE-004,
TX-00133,2024-03-01,CREDIT,1256.00,miete,Chantal Täsche,Miete 03/2024 EH-045,MIE-006,
TX-00134,2024-03-01,CREDIT,1767.00,miete,David Jenkins,Miete 03/2024 EH-023,MIE-007,
TX-00135,2024-03-01,CREDIT,1070.00,miete,Ferenc Stahr,Miete 03/2024 EH-003,MIE-008,
TX-00136,2024-03-01,CREDIT,1726.00,miete,Ewa Thies,Miete 03/2024 EH-046,MIE-010,
TX-00137,2024-03-01,CREDIT,1496.00,miete,Louise Ladeck,Miete 03/2024 EH-035,MIE-018,
TX-00138,2024-03-01,CREDIT,1206.00,miete,Jasmin Trub,Miete 03/2024 EH-019,MIE-025,
TX-00139,2024-03-01,CREDIT,983.00,miete,Kamil Trub,Miete 03/2024 EH-006,MIE-026,
TX-00140,2024-03-01,CREDIT,32.51,hausgeld,Marcus Dowerg,"Hausgeld 03/2024 EH-037,EH-032",EIG-001,
TX-00141,2024-03-01,CREDIT,26.28,hausgeld,Josefine Nohlmans,"Hausgeld 03/2024 EH-007,EH-024",EIG-005,
TX-00142,2024-03-01,CREDIT,11.33,hausgeld,Ingbert Nerger,"Hausgeld 03/2024 EH-052,EH-050",EIG-010,
TX-00143,2024-03-01,CREDIT,16.93,hausgeld,Mina Textor,Hausgeld 03/2024 EH-042,EIG-019,
TX-00144,2024-03-01,CREDIT,7.86,hausgeld,Xenia Conradi,Hausgeld 03/2024 EH-008,EIG-033,
TX-00145,2024-03-02,CREDIT,2019.00,miete,Joanna Schäfer,Miete 03/2024 EH-049,MIE-003,
TX-00146,2024-03-02,CREDIT,864.00,miete,Marliese Hermann,Miete 03/2024 EH-002,MIE-009,
TX-00147,2024-03-02,CREDIT,1460.00,miete,Alwine Sager,Miete 03/2024 EH-022,MIE-012,
TX-00148,2024-03-02,CREDIT,1583.00,miete,Kiara Mcintyre,Miete 03/2024 EH-010,MIE-013,
TX-00149,2024-03-02,CREDIT,901.00,miete,Magrit Mitschke,Miete 03/2024 EH-032,MIE-016,
TX-00150,2024-03-02,CREDIT,1006.00,miete,Jörgen Seidel,Miete 03/2024 EH-050,MIE-019,
TX-00151,2024-03-02,CREDIT,1925.00,miete,Anika Zimmer,Miete 03/2024 EH-042,MIE-020,
TX-00152,2024-03-02,CREDIT,2111.00,miete,Galina Wohlgemut,Miete 03/2024 EH-041,MIE-021,
TX-00153,2024-03-02,CREDIT,1330.00,miete,Anette Vogt,Miete 03/2024 EH-009,MIE-024,
TX-00154,2024-03-02,CREDIT,34.35,hausgeld,Erdal Beckmann,"Hausgeld 03/2024 EH-043,EH-015",EIG-004,
TX-00155,2024-03-02,CREDIT,30.88,hausgeld,Caroline Bohlander,"Hausgeld 03/2024 EH-031,EH-035",EIG-011,
TX-00156,2024-03-02,CREDIT,35.63,hausgeld,Kunigunda Ditschlerin,"Hausgeld 03/2024 EH-005,EH-036",EIG-012,
TX-00157,2024-03-02,CREDIT,34.57,hausgeld,Wolfgang Hettner,"Hausgeld 03/2024 EH-034,EH-010",EIG-016,
TX-00158,2024-03-02,CREDIT,19.76,hausgeld,Tom Hartmann,Hausgeld 03/2024 EH-029,EIG-022,
TX-00159,2024-03-02,CREDIT,11.97,hausgeld,Gottlob Hahn,Hausgeld 03/2024 EH-040,EIG-023,
TX-00160,2024-03-02,CREDIT,13.81,hausgeld,Willfried Harloff,Hausgeld 03/2024 EH-013,EIG-024,
TX-00161,2024-03-02,CREDIT,12.32,hausgeld,Oswald Gröttner,Hausgeld 03/2024 EH-022,EIG-028,
TX-00162,2024-03-02,CREDIT,13.95,hausgeld,Dorothe Wulf,Hausgeld 03/2024 EH-046,EIG-030,
TX-00163,2024-03-02,CREDIT,13.95,hausgeld,Jo Reuter,Hausgeld 03/2024 EH-051,EIG-032,
TX-00164,2024-03-02,DEBIT,131.50,dienstleister,SecureLock Systems Ltd.,Rechnung RE-2024-0148 SecureLock Systems Ltd.,INV-00010,
TX-00165,2024-03-03,CREDIT,1511.00,miete,Edelgard Wulf,Miete 03/2024 EH-021,MIE-002,
TX-00166,2024-03-03,CREDIT,1653.00,miete,Steffi Riehl,Miete 03/2024 EH-013,MIE-005,
TX-00167,2024-03-03,CREDIT,1863.00,miete,Peggy Hein,Miete 03/2024 EH-016,MIE-011,
TX-00168,2024-03-03,CREDIT,1127.00,miete,Wilma Roht,Miete Wilma Roht,MIE-014,
TX-00169,2024-03-03,CREDIT,2404.00,miete,Hanna Schweitzer,Miete 03/2024 EH-034,MIE-015,
TX-00170,2024-03-03,CREDIT,2091.00,miete,Edeltraud Renner,Miete 03/2024 EH-029,MIE-017,
TX-00171,2024-03-03,CREDIT,1914.00,miete,Carsten Austermühle,Miete 03/2024 EH-031,MIE-022,
TX-00172,2024-03-03,CREDIT,4096.00,miete,Björn Weinhage,Miete 03/2024 EH-037,MIE-023,
TX-00173,2024-03-03,CREDIT,1.63,hausgeld,Irmingard Margraf,Hausgeld 03/2024 EH-018,EIG-018,
TX-00174,2024-03-03,CREDIT,10.20,hausgeld,Hiltrud Speer,Hausgeld 03/2024 EH-003,EIG-025,
TX-00175,2024-03-03,CREDIT,13.46,hausgeld,Dörthe Hövel,Hausgeld 03/2024 EH-021,EIG-031,
TX-00176,2024-03-03,DEBIT,3747.83,versorger,Vattenfall Europe Sales GmbH,Rechnung INV-2024-0093 Vattenfall Europe Sales GmbH,INV-00011,
TX-00177,2024-03-04,CREDIT,37.61,hausgeld,Gertraud Holsten,"Hausgeld 03/2024 EH-047,EH-033",EIG-002,
TX-00178,2024-03-04,CREDIT,36.83,hausgeld,Arnulf Heintze,"Hausgeld 03/2024 EH-025,EH-049",EIG-003,
TX-00179,2024-03-04,CREDIT,21.60,hausgeld,Hulda Eckbauer,"Hausgeld 03/2024 EH-019,EH-009",EIG-014,
TX-00180,2024-03-04,CREDIT,27.48,hausgeld,Kranz Vermoegensverwaltung,"Hausgeld 03/2024 EH-011,EH-017",EIG-015,
TX-00181,2024-03-04,CREDIT,32.73,hausgeld,Osman Jacob,"Hausgeld 03/2024 EH-001,EH-030",EIG-017,
TX-00182,2024-03-04,CREDIT,13.95,hausgeld,Ingolf Röhricht,Hausgeld 03/2024 EH-014,EIG-027,
TX-00183,2024-03-04,CREDIT,8.36,hausgeld,Markus Fliegner,Hausgeld 03/2024 EH-006,EIG-035,
TX-00184,2024-03-04,DEBIT,283.22,dienstleister,Dachdecker Richter,Rechnung R20240137 Dachdecker Richter,INV-00014,
TX-00185,2024-03-04,DEBIT,343.67,dienstleister,Gaertnerei Gruener Daumen,Rechnung R20240050 Gaertnerei Gruener Daumen,INV-00017,
TX-00186,2024-03-05,CREDIT,28.76,hausgeld,Winfried Ullmann,"Hausgeld 03/2024 EH-027,EH-026",EIG-006,
TX-00187,2024-03-05,CREDIT,26.21,hausgeld,Anni Wagenknecht,"Hausgeld 03/2024 EH-048,EH-044",EIG-007,
TX-00188,2024-03-05,CREDIT,33.86,hausgeld,Dunja Schacht,"Hausgeld 03/2024 EH-012,EH-028",EIG-008,
TX-00189,2024-03-05,CREDIT,33.57,hausgeld,Dominic Jacobs,"Hausgeld 03/2024 EH-023,EH-016",EIG-013,
TX-00190,2024-03-05,CREDIT,10.84,hausgeld,Ronald Kelley,Hausgeld 03/2024 EH-045,EIG-020,
TX-00191,2024-03-05,CREDIT,7.58,hausgeld,Silja Henschel,Hausgeld 03/2024 EH-020,EIG-026,
TX-00192,2024-03-05,CREDIT,17.43,hausgeld,Sükrü Aumann,Hausgeld 03/2024 EH-041,EIG-029,
TX-00193,2024-03-05,CREDIT,9.85,hausgeld,Harro Bloch,Hausgeld 03/2024 EH-004,EIG-034,
TX-00194,2024-03-06,DEBIT,23044.58,versorger,GASAG Berliner Gaswerke AG,Rechnung 2024/00095 GASAG Berliner Gaswerke AG,INV-00009,
TX-00195,2024-03-11,DEBIT,398.41,dienstleister,Reinigungsservice Kowalski,Rechnung R20240026 Reinigungsservice Kowalski,INV-00016,
TX-00196,2024-03-12,DEBIT,1616.73,dienstleister,Dachdecker Richter,Rechnung R20240143 Dachdecker Richter,INV-00012,
TX-00197,2024-03-17,DEBIT,569.42,dienstleister,Elektro Schmidt e.K.,Rechnung R20240104 Elektro Schmidt e.K.,INV-00013,
TX-00198,2024-03-19,DEBIT,1147.64,dienstleister,Hausmeister Mueller GmbH,Rechnung R20240002 Hausmeister Mueller GmbH,INV-00015,
TX-00199,2024-03-23,DEBIT,1436.33,dienstleister,TechClean International,Rechnung R20240157 TechClean International,INV-00020,
TX-00200,2024-03-28,DEBIT,97.58,dienstleister,Schornsteinfegermeister Bauer,Rechnung 2024/00089 Schornsteinfegermeister Bauer,INV-00018,
TX-00201,2024-03-28,DEBIT,12.50,sonstige,Postbank Berlin,Kontofuehrungsgebuehr 03/2024,,
TX-00202,2024-03-31,DEBIT,827.05,dienstleister,Gaertnerei Gruener Daumen,Rechnung R20240051 Gaertnerei Gruener Daumen,INV-00024,
TX-00203,2024-04-01,CREDIT,1676.00,miete,Julius Nette,Miete 04/2024 EH-025,MIE-001,
TX-00204,2024-04-01,CREDIT,864.00,miete,Marliese Hermann,Miete 04/2024 EH-002,MIE-009,
TX-00205,2024-04-01,CREDIT,901.00,miete,Magrit Mitschke,Miete 04/2024 EH-032,MIE-016,
TX-00206,2024-04-01,CREDIT,4096.00,miete,Björn Weinhage,Miete 04/2024 EH-037,MIE-023,
TX-00207,2024-04-01,CREDIT,1206.00,miete,Jasmin Trub,Miete 04/2024 EH-019,MIE-025,
TX-00208,2024-04-01,CREDIT,32.51,hausgeld,Marcus Dowerg,"Hausgeld 04/2024 EH-037,EH-032",EIG-001,
TX-00209,2024-04-01,CREDIT,12.32,hausgeld,Oswald Gröttner,Hausgeld 04/2024 EH-022,EIG-028,
TX-00210,2024-04-02,CREDIT,2019.00,miete,Joanna Schäfer,Miete 04/2024 EH-049,MIE-003,
TX-00211,2024-04-02,CREDIT,1256.00,miete,Chantal Täsche,Miete 04/2024 EH-045,MIE-006,
TX-00212,2024-04-02,CREDIT,1767.00,miete,David Jenkins,Miete 04/2024 EH-023,MIE-007,
TX-00213,2024-04-02,CREDIT,1070.00,miete,Ferenc Stahr,Miete 04/2024 EH-003,MIE-008,
TX-00214,2024-04-02,CREDIT,1863.00,miete,Peggy Hein,Miete 04/2024 EH-016,MIE-011,
TX-00215,2024-04-02,CREDIT,1460.00,miete,Alwine Sager,Miete 04/2024 EH-022,MIE-012,
TX-00216,2024-04-02,CREDIT,1583.00,miete,Kiara Mcintyre,Miete 04/2024 EH-010,MIE-013,
TX-00217,2024-04-02,CREDIT,2091.00,miete,Edeltraud Renner,Miete 04/2024 EH-029,MIE-017,
TX-00218,2024-04-02,CREDIT,1006.00,miete,Jörgen Seidel,Miete 04/2024 EH-050,MIE-019,
TX-00219,2024-04-02,CREDIT,1330.00,miete,Anette Vogt,Miete 04/2024 EH-009,MIE-024,
TX-00220,2024-04-02,CREDIT,983.00,miete,Kamil Trub,Miete 04/2024 EH-006,MIE-026,
TX-00221,2024-04-02,CREDIT,36.83,hausgeld,Arnulf Heintze,"Hausgeld 04/2024 EH-025,EH-049",EIG-003,
